model,phase,prompt-format,accuracy,f1,precision,recall
bert-base-uncased,PRONTO-MAV-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.796969696969697,0.8261245674740484,0.7971619365609349,0.8572710951526032
roberta-base,0-Shot PRONTO,<C> is a <mask> of <D>.,0.6116666666666667,0.575591985428051,0.6422764227642277,0.5214521452145214
roberta-base,0-Shot LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.5156666666666667,0.3168782322519981,0.5506535947712419,0.22244224422442244
roberta-base,4-Shot PRONTO,<C> is a <mask> of <D>.,0.6756666666666666,0.6373462541930675,0.7320205479452054,0.5643564356435643
roberta-base,32-Shot PRONTO,<C> is a <mask> of <D>.,0.755,0.7565419012918185,0.7593085106382979,0.7537953795379538
roberta-base,128-Shot PRONTO,<C> is a <mask> of <D>.,0.8343333333333334,0.8302015715749914,0.8604815864022662,0.801980198019802
roberta-base,4-Shot LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.6313333333333333,0.6119298245614035,0.6531835205992509,0.5755775577557756
roberta-base,32-Shot LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.7503333333333333,0.7507487520798669,0.7570469798657719,0.7445544554455445
roberta-base,128-Shot LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.818,0.8137789904502046,0.8419195483415667,0.7874587458745874
roberta-base,PRONTO-VF-PRONTO,<C> is a <mask> of <D>.,0.7984848484848485,0.8193752829334541,0.8264840182648402,0.8123877917414721
roberta-base,PRONTO-LIN-PRONTO,<C> is a <mask> of <D>.,0.4484848484848485,0.2700534759358289,0.5287958115183246,0.1813285457809695
roberta-base,PRONTO-WS-PRONTO,<C> is a <mask> of <D>.,0.6898989898989899,0.7109227871939736,0.7475247524752475,0.677737881508079
roberta-base,PRONTO-MAV-PRONTO,<C> is a <mask> of <D>.,0.8075757575757576,0.8254695373339441,0.842843779232928,0.8087971274685817
roberta-base,PRONTO-VF-LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.7666666666666667,0.7859128822984245,0.8122605363984674,0.7612208258527827
roberta-base,PRONTO-LIN-LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.6196969696969697,0.711825487944891,0.6204136090727151,0.8348294434470377
roberta-base,PRONTO-WS-LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.6166666666666667,0.7292186942561542,0.6050917702782712,0.9174147217235189
roberta-base,PRONTO-MAV-LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.7631313131313131,0.7815556590591523,0.8121974830590513,0.7531418312387792
bert-base-uncased,0-Shot PRONTO,<C> is a [MASK] of <D>.,0.65,0.662379421221865,0.64576802507837,0.6798679867986799
bert-base-uncased,0-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.4696666666666667,0.6211002619671351,0.4858420268256334,0.8607260726072608
bert-base-uncased,4-Shot PRONTO,<C> is a [MASK] of <D>.,0.719,0.7041067041067041,0.7518740629685158,0.662046204620462
bert-base-uncased,32-Shot PRONTO,<C> is a [MASK] of <D>.,0.763,0.7570891697984284,0.7847025495750708,0.7313531353135313
bert-base-uncased,128-Shot PRONTO,<C> is a [MASK] of <D>.,0.8486666666666667,0.8463100880162492,0.8686587908269632,0.8250825082508251
bert-base-uncased,4-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.6466666666666666,0.570154095701541,0.7392218717139852,0.464026402640264
bert-base-uncased,32-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.7316666666666667,0.713216957605985,0.7747678018575851,0.6607260726072607
bert-base-uncased,128-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.832,0.8301886792452831,0.8479008947006194,0.8132013201320132
bert-base-uncased,PRONTO-VF-PRONTO,<C> is a [MASK] of <D>.,0.8227272727272728,0.8369716674407803,0.8671799807507219,0.8087971274685817
bert-base-uncased,PRONTO-LIN-PRONTO,<C> is a [MASK] of <D>.,0.5888888888888889,0.6167608286252354,0.6485148514851485,0.5879712746858169
bert-base-uncased,PRONTO-WS-PRONTO,<C> is a [MASK] of <D>.,0.696969696969697,0.7586484312148029,0.6873177842565598,0.8464991023339318
bert-base-uncased,PRONTO-MAV-PRONTO,<C> is a [MASK] of <D>.,0.8348484848484848,0.8522367826479892,0.8580527752502275,0.8464991023339318
bert-base-uncased,PRONTO-VF-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.7974747474747474,0.8194506978838361,0.8220415537488708,0.8168761220825853
bert-base-uncased,PRONTO-VF-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.7984848484848485,0.825076720736519,0.8063410454155956,0.8447037701974865
bert-base-uncased,PRONTO-LIN-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.5883838383838383,0.7206033596160438,0.5829173599556295,0.9434470377019749
bert-base-uncased,PRONTO-WS-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.6722222222222223,0.7602512005910602,0.6459510357815442,0.9236983842010772
bert-base-uncased,PRONTO-MAV-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.8095959595959596,0.8313199105145413,0.8287243532560215,0.8339317773788151
